[0.24809962] [0.42229004] [0.58733101] [0.76048122] [0.88730749] [1.07094653] [1.23007775] [1.41002573] [1.58134381] [1.82059575] [2.12561975] [2.47568549] [2.82743462] [3.49859046] [3.99722878] [4.53092929] [6.27388212] [8.93087711] [14.32116761] [19.13690735] [0.40376911] 
[0.23569464] [0.40117554] [0.55796446] [0.72245716] [0.84294212] [1.01739921] [1.16857387] [1.33952444] [1.50227662] [1.72956596] [2.01933876] [2.35190121] [2.68606289] [3.32366093] [3.79736734] [4.30438283] [5.96018802] [8.48433326] [13.60510923] [18.18006198] [0.38358066] 
[0.22390991] [0.38111676] [0.53006624] [0.6863343] [0.80079501] [0.96652925] [1.11014517] [1.27254822] [1.42716279] [1.64308766] [1.91837182] [2.23430615] [2.55175974] [3.15747789] [3.60749897] [4.08916369] [5.66217862] [8.0601166] [12.92485377] [17.27105888] [0.36440162] 
[0.21271441] [0.36206092] [0.50356293] [0.65201758] [0.76075526] [0.91820278] [1.05463791] [1.20892081] [1.35580465] [1.56093328] [1.82245323] [2.12259084] [2.42417176] [2.99960399] [3.42712402] [3.8847055] [5.37906968] [7.65711077] [12.27861108] [16.40750594] [0.34618154] 
[0.20207869] [0.34395788] [0.47838478] [0.61941671] [0.7227175] [0.87229265] [1.00190602] [1.14847477] [1.28801442] [1.48288662] [1.73133057] [2.0164613] [2.30296317] [2.84962379] [3.25576782] [3.69047023] [5.1101162] [7.27425523] [11.66468052] [15.58713064] [0.32887246] 
[0.19197476] [0.32675998] [0.45446554] [0.58844587] [0.68658162] [0.82867801] [0.95181072] [1.09105103] [1.2236137] [1.40874229] [1.64476404] [1.91563824] [2.18781501] [2.7071426] [3.09297943] [3.50594672] [4.85461039] [6.91054247] [11.0814465] [14.80777411] [0.31242884] 
[0.18237602] [0.31042198] [0.43174227] [0.55902358] [0.65225254] [0.78724411] [0.90422018] [1.03649848] [1.16243301] [1.33830517] [1.56252584] [1.81985633] [2.07842426] [2.57178547] [2.93833046] [3.33064938] [4.61187987] [6.56501534] [10.52737417] [14.06738541] [0.2968074] 
[0.17325722] [0.29490088] [0.41015515] [0.5310724] [0.61963991] [0.74788191] [0.85900917] [0.98467355] [1.10431136] [1.27138991] [1.48439955] [1.72886351] [1.97450305] [2.4431962] [2.79141394] [3.16411691] [4.38128588] [6.23676458] [10.00100547] [13.36401613] [0.28196703] 
[0.16459436] [0.28015584] [0.3896474] [0.50451878] [0.58865792] [0.71048781] [0.81605871] [0.93543988] [1.0490958] [1.20782042] [1.41017957] [1.64242033] [1.87577789] [2.32103639] [2.65184324] [3.00591107] [4.16222158] [5.92492635] [9.50095519] [12.69581533] [0.26786868] 
[0.15636464] [0.26614805] [0.37016503] [0.47929284] [0.55922502] [0.67496342] [0.77525578] [0.88866788] [0.99664101] [1.1474294] [1.33967059] [1.56029932] [1.781989] [2.20498457] [2.51925108] [2.85561551] [3.9541105] [5.62868003] [9.02590743] [12.06102456] [0.25447524] 
[0.14854641] [0.25284065] [0.35165677] [0.4553282] [0.53126377] [0.64121525] [0.73649299] [0.84423449] [0.94680896] [1.09005793] [1.27268706] [1.48228435] [1.69288955] [2.09473534] [2.39328852] [2.71283474] [3.75640498] [5.34724603] [8.57461206] [11.45797333] [0.24175148] 
[0.14111909] [0.24019861] [0.33407394] [0.43256179] [0.50470058] [0.60915449] [0.69966834] [0.80202276] [0.89946851] [1.03555503] [1.20905271] [1.40817013] [1.60824507] [1.98999857] [2.2736241] [2.577193] [3.56858473] [5.07988373] [8.14588146] [10.88507467] [0.22966391] 
[0.13406313] [0.22818868] [0.31737024] [0.4109337] [0.47946555] [0.57869676] [0.66468492] [0.76192163] [0.85449508] [0.98377728] [1.14860007] [1.33776163] [1.52783282] [1.89049865] [2.15994289] [2.44833335] [3.39015549] [4.82588954] [7.73858738] [10.34082093] [0.21818071] 
[0.12735997] [0.21677925] [0.30150173] [0.39038701] [0.45549228] [0.54976192] [0.63145068] [0.72382554] [0.81177033] [0.93458841] [1.09117007] [1.27087355] [1.45144118] [1.79597371] [2.05194575] [2.32591668] [3.22064772] [4.58459506] [7.35165802] [9.82377989] [0.20727168] 
[0.12099198] [0.20594029] [0.28642664] [0.37086766] [0.43271766] [0.52227383] [0.59987814] [0.68763427] [0.77118181] [0.88785899] [1.03661157] [1.20732987] [1.37886912] [1.70617503] [1.94934846] [2.20962085] [3.05961533] [4.35536531] [6.98407511] [9.33259089] [0.19690809] 
[0.11494238] [0.19564327] [0.27210531] [0.35232428] [0.41108178] [0.49616014] [0.56988424] [0.65325255] [0.73262272] [0.84346604] [0.98478099] [1.14696337] [1.30992566] [1.62086628] [1.85188104] [2.09913981] [2.90663457] [4.13759704] [6.63487136] [8.86596135] [0.18706269] 
[0.10919526] [0.18586111] [0.25850004] [0.33470807] [0.39052769] [0.47135213] [0.54139002] [0.62058993] [0.69599158] [0.80129274] [0.93554194] [1.08961521] [1.24442938] [1.53982296] [1.75928699] [1.99418282] [2.76130284] [3.93071719] [6.30312779] [8.42266328] [0.17770955] 
[0.1037355] [0.17656805] [0.24557504] [0.31797266] [0.37100131] [0.44778452] [0.51432052] [0.58956043] [0.66119201] [0.7612281] [0.88876484] [1.03513445] [1.18220791] [1.46283181] [1.67132264] [1.89447368] [2.6232377] [3.73418133] [5.9879714] [8.00153012] [0.16882408] 
[0.09854872] [0.16773965] [0.23329629] [0.30207403] [0.35245124] [0.4253953] [0.4886045] [0.56008241] [0.62813241] [0.7231667] [0.8443266] [0.98337772] [1.12309752] [1.38969022] [1.58775651] [1.79974999] [2.49207581] [3.54747227] [5.68857283] [7.60145361] [0.16038287] 
[0.09362128] [0.15935267] [0.22163147] [0.28697033] [0.33482868] [0.40412553] [0.46417427] [0.53207829] [0.59672579] [0.68700836] [0.80211027] [0.93420884] [1.06694264] [1.32020571] [1.50836868] [1.70976249] [2.36747202] [3.37009865] [5.40414419] [7.22138093] [0.15236373] 
[0.08894022] [0.15138503] [0.2105499] [0.27262181] [0.31808724] [0.38391926] [0.44096556] [0.50547437] [0.5668895] [0.65265795] [0.76200476] [0.8874984] [1.01359551] [1.25419543] [1.43295025] [1.62427437] [2.24909842] [3.20159372] [5.13393698] [6.86031188] [0.14474554] 
[0.08449321] [0.14381578] [0.20002241] [0.25899072] [0.30218288] [0.36472329] [0.41891728] [0.48020065] [0.53854502] [0.62002505] [0.72390452] [0.84312348] [0.96291573] [1.19148566] [1.36130273] [1.54306065] [2.1366435] [3.04151403] [4.87724013] [6.51729629] [0.13750827] 
[0.08026855] [0.13662499] [0.19002129] [0.24604118] [0.28707374] [0.34648713] [0.39797142] [0.45619062] [0.51161777] [0.5890238] [0.68770929] [0.8009673] [0.91476995] [1.13191137] [1.2932376] [1.46590762] [2.02981132] [2.88943833] [4.63337812] [6.19143148] [0.13063285] 
[0.07625512] [0.12979374] [0.18052022] [0.23373913] [0.27272005] [0.32916277] [0.37807285] [0.43338109] [0.48603688] [0.55957261] [0.65332383] [0.76091894] [0.86903145] [1.0753158] [1.22857572] [1.39261224] [1.92832076] [2.74496642] [4.40170922] [5.8818599] [0.12410121] 
[0.07244237] [0.12330406] [0.17149421] [0.22205217] [0.25908405] [0.31270463] [0.3591692] [0.41171204] [0.46173504] [0.53159398] [0.62065764] [0.72287299] [0.82557988] [1.02155001] [1.16714693] [1.32298162] [1.83190472] [2.6077181] [4.18162376] [5.58776691] [0.11789615] 
[0.06882025] [0.11713885] [0.1629195] [0.21094956] [0.24612985] [0.2970694] [0.34121074] [0.39112643] [0.43864829] [0.50501428] [0.58962475] [0.68672934] [0.78430088] [0.97047251] [1.10878958] [1.25683254] [1.74030948] [2.47733219] [3.97254257] [5.30837856] [0.11200134] 
[0.06537923] [0.11128191] [0.15477352] [0.20040208] [0.23382335] [0.28221593] [0.32415021] [0.37157011] [0.41671587] [0.47976356] [0.56014352] [0.65239287] [0.74508584] [0.92194889] [1.05335011] [1.19399092] [1.65329401] [2.35346558] [3.77391544] [5.04295963] [0.10640127] 
[0.06211027] [0.10571782] [0.14703485] [0.19038198] [0.22213219] [0.26810514] [0.3079427] [0.35299161] [0.39588008] [0.45577539] [0.53213634] [0.61977323] [0.70783155] [0.87585144] [1.0006826] [1.13429137] [1.57062931] [2.2357923] [3.58521967] [4.79081165] [0.10108121] 
[0.05900476] [0.10043192] [0.13968311] [0.18086288] [0.21102558] [0.25469988] [0.29254556] [0.33534203] [0.37608607] [0.43298662] [0.50552952] [0.58878457] [0.67243997] [0.83205887] [0.95064847] [1.0775768] [1.49209784] [2.12400269] [3.40595869] [4.55127107] [0.09602715] 
[0.05605452] [0.09541033] [0.13269895] [0.17181974] [0.2004743] [0.24196488] [0.27791828] [0.31857493] [0.35728177] [0.41133729] [0.48025305] [0.55934534] [0.63881797] [0.79045593] [0.90311605] [1.02369796] [1.41749295] [2.01780255] [3.23566075] [4.32370752] [0.09122579] 
[0.0532518] [0.09063981] [0.126064] [0.16322875] [0.19045058] [0.22986664] [0.26402237] [0.30264618] [0.33941768] [0.39077042] [0.4562404] [0.53137807] [0.60687707] [0.75093313] [0.85796024] [0.97251306] [1.3466183] [1.91691242] [3.07387771] [4.10752214] [0.0866645] 
[0.05058921] [0.08610782] [0.1197608] [0.15506731] [0.18092805] [0.21837331] [0.25082125] [0.28751387] [0.3224468] [0.3712319] [0.43342838] [0.50480917] [0.57653322] [0.71338647] [0.81506223] [0.92388741] [1.27928739] [1.8210668] [2.92018383] [3.90214603] [0.08233128] 
[0.04805975] [0.08180243] [0.11377276] [0.14731395] [0.17188165] [0.20745464] [0.23828019] [0.27313818] [0.30632446] [0.35267031] [0.41175696] [0.47956871] [0.54770656] [0.67771715] [0.77430912] [0.87769304] [1.21532302] [1.73001346] [2.77417464] [3.70703873] [0.07821471] 
[0.04565676] [0.07771231] [0.10808412] [0.13994825] [0.16328757] [0.19708191] [0.22636618] [0.25948127] [0.29100823] [0.33503679] [0.39116911] [0.45559028] [0.52032123] [0.64383129] [0.73559366] [0.83380839] [1.15455687] [1.64351279] [2.6354659] [3.52168679] [0.07430398] 
[0.04337392] [0.07382669] [0.10267992] [0.13295084] [0.15512319] [0.18722782] [0.21504787] [0.2465072] [0.27645782] [0.31828495] [0.37161065] [0.43281076] [0.49430517] [0.61163973] [0.69881398] [0.79211797] [1.09682902] [1.56133715] [2.50369261] [3.34560245] [0.07058878] 
[0.04120522] [0.07013536] [0.09754592] [0.12630329] [0.14736703] [0.17786642] [0.20429548] [0.23418184] [0.26263493] [0.3023707] [0.35303012] [0.41117022] [0.46958991] [0.58105774] [0.66387328] [0.75251207] [1.04198757] [1.48327029] [2.37850798] [3.17832233] [0.06705934] 
[0.03914496] [0.06662859] [0.09266863] [0.11998813] [0.13999868] [0.1689731] [0.1940807] [0.22247275] [0.24950319] [0.28725217] [0.33537861] [0.39061171] [0.44611041] [0.55200486] [0.63067962] [0.71488647] [0.98988819] [1.40910678] [2.25958258] [3.01940622] [0.06370637] 
[0.03718771] [0.06329716] [0.0880352] [0.11398872] [0.13299875] [0.16052445] [0.18437667] [0.21134911] [0.23702803] [0.27288956] [0.31860968] [0.37108113] [0.42380489] [0.52440461] [0.59914564] [0.67914214] [0.94039379] [1.33865144] [2.14660345] [2.8684359] [0.06052105] 
[0.03532833] [0.0601323] [0.08363344] [0.10828929] [0.12634881] [0.15249823] [0.17515783] [0.20078166] [0.22517662] [0.25924508] [0.3026792] [0.35252707] [0.40261465] [0.49818438] [0.56918836] [0.64518504] [0.8933741] [1.27171887] [2.03927328] [2.72501411] [0.057495] 
[0.03356191] [0.05712569] [0.07945176] [0.10287482] [0.12003137] [0.14487331] [0.16639994] [0.19074258] [0.21391779] [0.24628283] [0.28754524] [0.33490072] [0.38248392] [0.47327516] [0.54072894] [0.61292578] [0.84870539] [1.20813292] [1.93730961] [2.5887634] [0.05462025] 
[0.03188382] [0.0542694] [0.07547918] [0.09773108] [0.1140298] [0.13762965] [0.15807994] [0.18120545] [0.2032219] [0.23396869] [0.27316798] [0.31815568] [0.36335972] [0.4496114] [0.51369249] [0.58227949] [0.80627012] [1.14772628] [1.84044413] [2.45932523] [0.05188924] 
[0.03028963] [0.05155593] [0.07170522] [0.09284453] [0.10832831] [0.13074817] [0.15017595] [0.17214517] [0.19306081] [0.22227025] [0.25950958] [0.3022479] [0.34519173] [0.42713083] [0.48800787] [0.55316552] [0.76595662] [1.09033996] [1.74842193] [2.33635897] [0.04929478] 
[0.02877514] [0.04897814] [0.06811996] [0.0882023] [0.10291189] [0.12421076] [0.14266715] [0.16353792] [0.18340777] [0.21115674] [0.2465341] [0.2871355] [0.32793215] [0.40577429] [0.46360747] [0.52550724] [0.72765878] [1.03582297] [1.66100083] [2.21954102] [0.04683004] 
[0.02733639] [0.04652923] [0.06471396] [0.08379219] [0.0977663] [0.11800022] [0.13553379] [0.15536102] [0.17423738] [0.2005989] [0.23420739] [0.27277873] [0.31153554] [0.38548558] [0.4404271] [0.49923188] [0.69127585] [0.98403182] [1.57795079] [2.10856397] [0.04448854] 
[0.02596957] [0.04420277] [0.06147826] [0.07960258] [0.09287798] [0.11210021] [0.1287571] [0.14759297] [0.16552551] [0.19056896] [0.22249703] [0.25913979] [0.29595876] [0.3662113] [0.41840574] [0.47427029] [0.65671205] [0.93483023] [1.49905325] [2.00313577] [0.04226411] 
[0.02467109] [0.04199263] [0.05840435] [0.07562245] [0.08823408] [0.1064952] [0.12231925] [0.14021332] [0.15724924] [0.18104051] [0.21137217] [0.2461828] [0.28116083] [0.34790073] [0.39748546] [0.45055677] [0.62387645] [0.88808872] [1.42410059] [1.90297898] [0.0401509] 
[0.02343754] [0.039893] [0.05548413] [0.07184133] [0.08382238] [0.10117044] [0.11620329] [0.13320265] [0.14938677] [0.17198848] [0.20080357] [0.23387366] [0.26710278] [0.3305057] [0.37761118] [0.42802893] [0.59268263] [0.84368428] [1.35289556] [1.80783004] [0.03814336] 
[0.02226566] [0.03789835] [0.05270992] [0.06824926] [0.07963126] [0.09611192] [0.11039312] [0.12654252] [0.14191743] [0.16338906] [0.19076339] [0.22217998] [0.25374764] [0.31398041] [0.35873062] [0.40662749] [0.5630485] [0.80150007] [1.28525078] [1.71743853] [0.03623619] 
[0.02115238] [0.03600343] [0.05007443] [0.0648368] [0.0756497] [0.09130632] [0.10487347] [0.1202154] [0.13482156] [0.15521961] [0.18122522] [0.21107098] [0.24106026] [0.29828139] [0.34079409] [0.38629611] [0.53489607] [0.76142506] [1.22098824] [1.63156661] [0.03442438] 
[0.02009476] [0.03420326] [0.04757071] [0.06159496] [0.07186721] [0.086741] [0.09962979] [0.11420463] [0.12808048] [0.14745863] [0.17216396] [0.20051743] [0.22900725] [0.28336732] [0.32375439] [0.36698131] [0.50815127] [0.72335381] [1.15993883] [1.54998828] [0.03270316] 
[0.01909002] [0.0324931] [0.04519217] [0.05851521] [0.06827385] [0.08240395] [0.0946483] [0.10849439] [0.12167646] [0.14008569] [0.16355576] [0.19049156] [0.21755689] [0.26919896] [0.30756667] [0.34863224] [0.4827437] [0.68718612] [1.10194189] [1.47248886] [0.031068] 
[0.01813552] [0.03086844] [0.04293256] [0.05558945] [0.06486016] [0.07828376] [0.08991589] [0.10306967] [0.11559264] [0.13308141] [0.15537797] [0.18096698] [0.20667904] [0.25573901] [0.29218834] [0.33120063] [0.45860652] [0.65282681] [1.04684479] [1.39886442] [0.0295146] 
[0.01722874] [0.02932502] [0.04078593] [0.05280998] [0.06161715] [0.07436957] [0.08542009] [0.09791619] [0.10981301] [0.12642734] [0.14760907] [0.17191863] [0.19634509] [0.24295206] [0.27757892] [0.3146406] [0.43567619] [0.62018547] [0.99450255] [1.3289212] [0.02803887] 
[0.01636731] [0.02785877] [0.03874664] [0.05016948] [0.05853629] [0.07065109] [0.08114909] [0.09302038] [0.10432236] [0.12010597] [0.14022862] [0.1633227] [0.18652784] [0.23080446] [0.26369997] [0.29890857] [0.41389238] [0.5891762] [0.94477743] [1.26247514] [0.02663693] 
[0.01554894] [0.02646583] [0.03680931] [0.047661] [0.05560948] [0.06711854] [0.07709163] [0.08836936] [0.09910624] [0.11410067] [0.13321719] [0.15515657] [0.17720144] [0.21926423] [0.25051497] [0.28396314] [0.39319776] [0.55971739] [0.89753855] [1.19935138] [0.02530508] 
[0.01477149] [0.02514254] [0.03496884] [0.04527795] [0.05282901] [0.06376261] [0.07323705] [0.08395089] [0.09415093] [0.10839564] [0.12655633] [0.14739874] [0.16834137] [0.20830102] [0.23798923] [0.26976498] [0.37353788] [0.53173152] [0.85266163] [1.13938381] [0.02403983] 
[0.01403292] [0.02388541] [0.0332204] [0.04301406] [0.05018756] [0.06057448] [0.0695752] [0.07975335] [0.08944338] [0.10297586] [0.12022851] [0.1400288] [0.1599243] [0.19788597] [0.22608976] [0.25627673] [0.35486098] [0.50514494] [0.81002855] [1.08241462] [0.02283784] 
[0.01333127] [0.02269114] [0.03155938] [0.04086335] [0.04767818] [0.05754575] [0.06609644] [0.07576568] [0.08497121] [0.09782707] [0.11421709] [0.13302736] [0.15192809] [0.18799167] [0.21478528] [0.2434629] [0.33711793] [0.4798877] [0.76952712] [1.02829389] [0.02169595] 
[0.01266471] [0.02155658] [0.02998141] [0.03882018] [0.04529427] [0.05466847] [0.06279162] [0.0719774] [0.08072265] [0.09293571] [0.10850623] [0.12637599] [0.14433168] [0.17859209] [0.20404601] [0.23128975] [0.32026204] [0.45589331] [0.73105076] [0.9768792] [0.02061115] 
[0.01203147] [0.02047875] [0.02848234] [0.03687918] [0.04302956] [0.05193504] [0.05965204] [0.06837853] [0.07668652] [0.08828893] [0.10308092] [0.12005719] [0.1371151] [0.16966248] [0.19384371] [0.21972527] [0.30424893] [0.43309865] [0.69449822] [0.92803524] [0.01958059] 
[0.0114299] [0.01945482] [0.02705822] [0.03503522] [0.04087808] [0.04933829] [0.05666943] [0.0649596] [0.07285219] [0.08387448] [0.09792687] [0.11405433] [0.13025934] [0.16117936] [0.18415153] [0.208739] [0.28903649] [0.41144371] [0.65977331] [0.88163347] [0.01860156] 
[0.0108584] [0.01848208] [0.02570531] [0.03328346] [0.03883417] [0.04687138] [0.05383596] [0.06171162] [0.06920958] [0.07968076] [0.09303053] [0.10835162] [0.12374638] [0.15312039] [0.17494395] [0.19830205] [0.27458466] [0.39087153] [0.62678465] [0.8375518] [0.01767148] 
[0.01031548] [0.01755797] [0.02442005] [0.03161928] [0.03689247] [0.04452781] [0.05114416] [0.05862604] [0.0657491] [0.07569672] [0.088379] [0.10293404] [0.11755906] [0.14546437] [0.16619675] [0.18838695] [0.26085543] [0.37132795] [0.59544541] [0.79567421] [0.01678791] 
[0.00979971] [0.01668007] [0.02319904] [0.03003832] [0.03504784] [0.04230142] [0.04858696] [0.05569474] [0.06246165] [0.07191188] [0.08396005] [0.09778733] [0.11168111] [0.13819115] [0.15788691] [0.1789676] [0.24781266] [0.35276155] [0.56567314] [0.7558905] [0.01594851] 
[0.00930972] [0.01584607] [0.02203909] [0.0285364] [0.03329545] [0.04018635] [0.04615761] [0.05291] [0.05933857] [0.06831629] [0.07976205] [0.09289797] [0.10609705] [0.1312816] [0.14999257] [0.17001922] [0.23542203] [0.33512348] [0.53738949] [0.71809598] [0.01515109] 
[0.00884424] [0.01505377] [0.02093714] [0.02710958] [0.03163068] [0.03817703] [0.04384973] [0.0502645] [0.05637164] [0.06490047] [0.07577395] [0.08825307] [0.1007922] [0.12471752] [0.14249294] [0.16151826] [0.22365092] [0.3183673] [0.51052001] [0.68219118] [0.01439353] 
[0.00840203] [0.01430108] [0.01989028] [0.0257541] [0.03004914] [0.03626818] [0.04165724] [0.04775128] [0.05355306] [0.06165545] [0.07198525] [0.08384042] [0.09575259] [0.11848164] [0.13536829] [0.15344235] [0.21246838] [0.30244894] [0.48499401] [0.64808162] [0.01367386] 
[0.00798193] [0.01358602] [0.01889577] [0.0244664] [0.02854669] [0.03445477] [0.03957438] [0.04536371] [0.0508754] [0.05857268] [0.06838599] [0.07964839] [0.09096496] [0.11255756] [0.12859988] [0.14577023] [0.20184496] [0.28732649] [0.46074431] [0.61567754] [0.01299016] 
[0.00758283] [0.01290672] [0.01795098] [0.02324308] [0.02711935] [0.03273203] [0.03759566] [0.04309553] [0.04833163] [0.05564404] [0.06496669] [0.07566597] [0.08641671] [0.10692968] [0.12216989] [0.13848172] [0.19175271] [0.27296017] [0.4377071] [0.58489366] [0.01234066] 
[0.00720369] [0.01226139] [0.01705343] [0.02208092] [0.02576338] [0.03109543] [0.03571588] [0.04094075] [0.04591505] [0.05286184] [0.06171835] [0.07188268] [0.08209588] [0.1015832] [0.11606139] [0.13155763] [0.18216508] [0.25931216] [0.41582174] [0.55564898] [0.01172362] 
[0.0068435] [0.01164832] [0.01620076] [0.02097688] [0.02447522] [0.02954066] [0.03393008] [0.03889371] [0.0436193] [0.05021875] [0.05863244] [0.06828854] [0.07799108] [0.09650404] [0.11025832] [0.12497975] [0.17305682] [0.24634655] [0.39503065] [0.52786653] [0.01113744] 
[0.00650133] [0.0110659] [0.01539072] [0.01992803] [0.02325145] [0.02806362] [0.03223358] [0.03694903] [0.04143833] [0.04770781] [0.05570082] [0.06487411] [0.07409153] [0.09167883] [0.10474541] [0.11873076] [0.16440398] [0.23402922] [0.37527912] [0.5014732] [0.01058057] 
[0.00617626] [0.01051261] [0.01462118] [0.01893163] [0.02208888] [0.02666044] [0.0306219] [0.03510158] [0.03936642] [0.04532242] [0.05291577] [0.06163041] [0.07038695] [0.08709489] [0.09950813] [0.11279423] [0.15618378] [0.22232776] [0.35651517] [0.47639954] [0.01005154] 
[0.00586745] [0.00998698] [0.01389012] [0.01798505] [0.02098444] [0.02532742] [0.02909081] [0.0333465] [0.0373981] [0.0430563] [0.05026999] [0.05854889] [0.0668676] [0.08274015] [0.09453273] [0.10715451] [0.14837459] [0.21121137] [0.33868941] [0.45257956] [0.00954896] 
[0.00557408] [0.00948763] [0.01319562] [0.0170858] [0.01993522] [0.02406105] [0.02763627] [0.03167917] [0.03552819] [0.04090349] [0.04775649] [0.05562144] [0.06352422] [0.07860314] [0.08980609] [0.10179679] [0.14095586] [0.2006508] [0.32175494] [0.42995059] [0.00907152] 
[0.00529537] [0.00901325] [0.01253584] [0.01623151] [0.01893845] [0.022858] [0.02625445] [0.03009521] [0.03375178] [0.03885831] [0.04536866] [0.05284037] [0.06034801] [0.07467298] [0.08531579] [0.09670695] [0.13390807] [0.19061826] [0.30566719] [0.40845306] [0.00861794] 
[0.0050306] [0.00856258] [0.01190905] [0.01541993] [0.01799153] [0.0217151] [0.02494173] [0.02859045] [0.03206419] [0.0369154] [0.04310023] [0.05019835] [0.05733061] [0.07093933] [0.08105] [0.0918716] [0.12721267] [0.18108735] [0.29038383] [0.3880304] [0.00818704] 
[0.00477907] [0.00813445] [0.01131359] [0.01464894] [0.01709196] [0.02062934] [0.02369464] [0.02716093] [0.03046098] [0.03506963] [0.04094522] [0.04768844] [0.05446408] [0.06739237] [0.0769975] [0.08727802] [0.12085203] [0.17203298] [0.27586464] [0.36862888] [0.00777769] 
[0.00454012] [0.00772773] [0.01074791] [0.01391649] [0.01623736] [0.01959788] [0.02250991] [0.02580288] [0.02893793] [0.03331614] [0.03889796] [0.04530401] [0.05174088] [0.06402275] [0.07314762] [0.08291412] [0.11480943] [0.16343133] [0.26207141] [0.35019744] [0.00738881] 
[0.00431311] [0.00734135] [0.01021052] [0.01322067] [0.01542549] [0.01861798] [0.02138442] [0.02451274] [0.02749104] [0.03165034] [0.03695306] [0.04303881] [0.04915383] [0.06082161] [0.06949024] [0.07876841] [0.10906896] [0.15525977] [0.24896784] [0.33268757] [0.00701937] 
[0.00409746] [0.00697428] [0.00969999] [0.01255963] [0.01465422] [0.01768708] [0.02031519] [0.0232871] [0.02611649] [0.03006782] [0.03510541] [0.04088687] [0.04669614] [0.05778053] [0.06601573] [0.07482999] [0.10361551] [0.14749678] [0.23651944] [0.31605319] [0.0066684] 
[0.00389259] [0.00662556] [0.00921499] [0.01193165] [0.0139215] [0.01680273] [0.01929943] [0.02212275] [0.02481066] [0.02856443] [0.03335014] [0.03884253] [0.04436133] [0.0548915] [0.06271494] [0.07108849] [0.09843474] [0.14012194] [0.22469347] [0.30025053] [0.00633498] 
[0.00369796] [0.00629429] [0.00875424] [0.01133507] [0.01322543] [0.01596259] [0.01833446] [0.02101661] [0.02357013] [0.02713621] [0.03168263] [0.0369004] [0.04214327] [0.05214693] [0.0595792] [0.06753407] [0.093513] [0.13311584] [0.2134588] [0.285238] [0.00601823] 
[0.00351306] [0.00597957] [0.00831653] [0.01076831] [0.01256416] [0.01516446] [0.01741774] [0.01996578] [0.02239162] [0.0257794] [0.0300985] [0.03505538] [0.0400361] [0.04953958] [0.05660024] [0.06415737] [0.08883735] [0.12646005] [0.20278586] [0.2709761] [0.00571732] 
[0.00333741] [0.00568059] [0.0079007] [0.0102299] [0.01193595] [0.01440624] [0.01654685] [0.01896749] [0.02127204] [0.02449043] [0.02859357] [0.03330261] [0.0380343] [0.0470626] [0.05377022] [0.0609495] [0.08439548] [0.12013705] [0.19264657] [0.2574273] [0.00543145] 
[0.00317053] [0.00539656] [0.00750567] [0.0097184] [0.01133915] [0.01368593] [0.01571951] [0.01801912] [0.02020844] [0.02326591] [0.02716389] [0.03163748] [0.03613258] [0.04470947] [0.05108171] [0.05790202] [0.08017571] [0.1141302] [0.18301424] [0.24455593] [0.00515988] 
[0.00301201] [0.00512674] [0.00713039] [0.00923248] [0.01077219] [0.01300163] [0.01493353] [0.01711816] [0.01919802] [0.02210261] [0.0258057] [0.03005561] [0.03432595] [0.042474] [0.04852763] [0.05500692] [0.07616692] [0.10842369] [0.17386353] [0.23232814] [0.00490189] 
[0.00286141] [0.0048704] [0.00677387] [0.00877086] [0.01023359] [0.01235155] [0.01418686] [0.01626225] [0.01823812] [0.02099748] [0.02451541] [0.02855283] [0.03260966] [0.0403503] [0.04610125] [0.05225658] [0.07235858] [0.1030025] [0.16517035] [0.22071173] [0.00465679] 
[0.00271834] [0.00462688] [0.00643517] [0.00833232] [0.00972191] [0.01173397] [0.01347752] [0.01544914] [0.01732621] [0.01994761] [0.02328964] [0.02712519] [0.03097917] [0.03833278] [0.04379618] [0.04964375] [0.06874065] [0.09785238] [0.15691183] [0.20967614] [0.00442395] 
[0.00258242] [0.00439553] [0.00611341] [0.0079157] [0.00923581] [0.01114727] [0.01280364] [0.01467668] [0.0164599] [0.01895023] [0.02212516] [0.02576893] [0.02943022] [0.03641615] [0.04160637] [0.04716156] [0.06530362] [0.09295976] [0.14906624] [0.19919234] [0.00420275] 
[0.0024533] [0.00417576] [0.00580774] [0.00751992] [0.00877402] [0.01058991] [0.01216346] [0.01394285] [0.0156369] [0.01800271] [0.0210189] [0.02448048] [0.0279587] [0.03459534] [0.03952606] [0.04480348] [0.06203843] [0.08831177] [0.14161293] [0.18923272] [0.00399262] 
[0.00233063] [0.00396697] [0.00551736] [0.00714392] [0.00833532] [0.01006041] [0.01155528] [0.01324571] [0.01485506] [0.01710258] [0.01996796] [0.02325646] [0.02656077] [0.03286557] [0.03754975] [0.04256331] [0.05893651] [0.08389618] [0.13453228] [0.17977108] [0.00379299] 
[0.0022141] [0.00376862] [0.00524149] [0.00678672] [0.00791855] [0.00955739] [0.01097752] [0.01258342] [0.01411231] [0.01624745] [0.01896956] [0.02209363] [0.02523273] [0.03122229] [0.03567227] [0.04043514] [0.05598969] [0.07970137] [0.12780567] [0.17078253] [0.00360334] 
[0.0021034] [0.00358019] [0.00497941] [0.00644739] [0.00752263] [0.00907952] [0.01042864] [0.01195425] [0.01340669] [0.01543508] [0.01802108] [0.02098895] [0.02397109] [0.02966118] [0.03388865] [0.03841338] [0.0531902] [0.0757163] [0.12141538] [0.1622434] [0.00342317] 
